city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Neuquen,AR,-38.95,-68.06,58.89,44,0,2.3,clear sky
257,Hithadhoo,MV,-0.60,73.08,83.52,72,15,16.78,few clouds
258,Hernani,ES,43.27,-1.98,76.46,71,0,1.01,clear sky
259,Tunceli,TR,39.11,39.55,70.66,40,0,4.0,clear sky
260,Pasaco,GT,13.98,-90.21,94.21,58,78,8.3,broken clouds
261,Chuy,UY,-33.70,-53.46,55.02,48,12,11.12,few clouds
262,Yola,NG,9.20,12.48,89.85,42,99,6.06,overcast clouds
263,Hualmay,PE,-11.10,-77.61,69.42,76,35,11.07,scattered clouds
264,Mumford,GH,5.26,-0.76,81.41,82,62,10.56,broken clouds
265,Severnoye,RU,56.35,78.36,58.46,65,7,7.78,clear sky
266,Le Port,RE,-20.94,55.29,71.56,81,0,5.37,clear sky
267,Kurtamysh,RU,54.91,64.43,63.88,84,100,7.18,overcast clouds
268,Mayor Pablo Lagerenza,PY,-19.93,-60.77,68.23,54,100,8.75,overcast clouds
269,La Libertad,EC,-2.23,-80.90,74.86,83,75,11.9,broken clouds
270,Kirensk,RU,57.79,108.11,35.38,96,100,1.88,overcast clouds
271,Ambulu,ID,-8.35,113.61,76.3,89,100,1.59,overcast clouds
272,Touros,BR,-5.20,-35.46,86.9,75,51,12.71,broken clouds
273,Siocon,PH,7.71,122.14,78.58,89,100,2.89,overcast clouds
274,Kenitra,MA,34.26,-6.58,68.76,79,100,8.37,overcast clouds
275,Tomatlan,MX,19.93,-105.25,93.43,29,99,10.25,overcast clouds
276,Zhaotong,CN,27.32,103.72,57.42,90,98,3.36,moderate rain
277,Laurel,US,39.10,-76.85,55.47,83,90,1.01,overcast clouds
278,San Carlos,VE,9.66,-68.58,92.23,41,42,3.24,scattered clouds
279,Pevek,RU,69.70,170.31,38.95,68,6,5.17,clear sky
280,Kilingi-Nomme,EE,58.15,24.96,47.73,75,15,3.74,few clouds
281,Bilibino,RU,68.05,166.44,48.49,48,66,2.17,broken clouds
282,Biak,ID,-0.91,122.88,76.08,87,96,5.1,overcast clouds
283,Nioki,CD,-2.72,17.68,80.47,64,93,0.63,overcast clouds
284,Lafayette,US,30.23,-92.07,81.91,64,1,1.99,clear sky
285,Kainantu,PG,-6.29,145.87,58.78,97,100,1.86,overcast clouds
286,Lavumisa,SZ,-27.31,31.89,56.26,82,100,3.78,overcast clouds
287,Jati,PK,24.35,68.27,84.27,77,2,18.28,clear sky
288,Ruwi,OM,23.60,58.55,94.69,37,18,1.14,few clouds
289,Saint-Pierre,RE,-21.34,55.48,71.24,56,0,8.05,clear sky
290,Chapais,CA,49.78,-74.85,65.98,24,8,7.52,clear sky
291,Chokurdakh,RU,70.63,147.92,54.77,41,25,9.71,scattered clouds
292,Upernavik,GL,72.79,-56.15,31.69,92,100,5.7,overcast clouds
293,Awbari,LY,26.59,12.78,96.8,8,39,7.7,scattered clouds
294,Omsukchan,RU,62.53,155.80,34.77,77,100,6.24,overcast clouds
295,Foz Do Iguacu,BR,-25.55,-54.59,72.75,43,0,7.47,clear sky
296,Puerto Carreno,CO,6.19,-67.49,80.89,80,100,6.55,overcast clouds
297,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,68.92,29,5,8.05,clear sky
298,Chernyshevskiy,RU,63.01,112.47,46.89,83,22,3.74,few clouds
299,Necochea,AR,-38.55,-58.74,54.19,42,56,14.16,broken clouds
300,Constitucion,CL,-35.33,-72.42,60.04,56,100,9.82,overcast clouds
301,Shatrovo,RU,56.52,64.63,63.75,60,100,5.68,light rain
302,Hobyo,SO,5.35,48.53,79.34,83,67,23.49,broken clouds
303,Providencia,MX,28.72,-111.58,92.61,47,4,16.62,clear sky
304,Pimentel,PE,-6.84,-79.93,70.09,81,90,1.99,overcast clouds
305,Biga,TR,40.23,27.24,67.98,88,100,6.6,overcast clouds
306,Matagami,CA,49.75,-77.63,68.11,22,1,9.08,clear sky
307,Ahar,IR,38.48,47.07,64.15,55,0,5.23,clear sky
308,Hervey Bay,AU,-25.30,152.85,57.04,81,24,3.0,few clouds
309,Leshukonskoye,RU,64.90,45.76,36.5,69,60,4.85,broken clouds
310,Ngorongoro,TZ,-3.24,35.49,52.72,84,72,3.51,broken clouds
